cluster_id,affiliation_variant,occurrence_count,sources,canonical_key,display_name,fingerprint_key,token_key,suggested_canonical,match_reason,priority,cluster_variant_count,cluster_total_occurrences,canonical_keys_differ,country_suffix_only,needs_review,confirmed_same,approved_canonical
C0053,"Bermuda Institute of Ocean Sciences, New Caledonia",2,delegates; delegates_raw,Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,bermuda institute of ocean sciences,bermuda institute ocean sciences,Bermuda Institute of Ocean Sciences,token_key,low,3,42,False,True,True,,
C0515,Smithsonian Environmental Research Center,36,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Smithsonian Environmental Research Center,Smithsonian Environmental Research Center,smithsonian environmental research center,center environmental research smithsonian,Smithsonian Environmental Research Center,token_key,low,2,42,False,True,True,,
C0515,"Smithsonian Environmental Research Center, United States",6,delegates; delegates_raw,Smithsonian Environmental Research Center,Smithsonian Environmental Research Center,smithsonian environmental research center,center environmental research smithsonian,Smithsonian Environmental Research Center,token_key,low,2,42,False,True,True,,
C0038,Pattimura University,18,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of Pattimura,University of Pattimura,pattimura university,pattimura university,University of Pattimura,"fingerprint, token_key",high,4,41,False,False,True,,
C0038,University of Pattimura,17,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of Pattimura,University of Pattimura,university of pattimura,pattimura university,University of Pattimura,"fingerprint, token_key",high,4,41,False,False,True,,
C0038,"Pattimura University, Indonesia",4,delegates; delegates_raw,University of Pattimura,University of Pattimura,pattimura university,pattimura university,University of Pattimura,"fingerprint, token_key",high,4,41,False,False,True,,
C0038,"University of Pattimura, Indonesia",2,delegates; delegates_raw,University of Pattimura,University of Pattimura,university of pattimura,pattimura university,University of Pattimura,"fingerprint, token_key",high,4,41,False,False,True,,
C0065,Coral Reef Watch,35,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Coral Reef Watch,Coral Reef Watch,coral reef watch,coral reef watch,Coral Reef Watch,token_key,low,3,41,False,True,True,,
C0065,"Coral Reef Watch, United States",4,delegates; delegates_raw,Coral Reef Watch,Coral Reef Watch,coral reef watch,coral reef watch,Coral Reef Watch,token_key,low,3,41,False,True,True,,
C0065,"Coral Reef Watch, Australia",2,delegates; delegates_raw,Coral Reef Watch,Coral Reef Watch,coral reef watch,coral reef watch,Coral Reef Watch,token_key,low,3,41,False,True,True,,
