affiliation_key,affiliation_variant,group_key,source
icrs-a-00199,"Global Discovery and Conservation Science, United States",global discovery and conservation science|united states,delegate_list|geocode_csv|programme
icrs-a-00200,"Global Island Partnership, New Zealand",global island partnership|new zealand,delegate_list|geocode_csv|programme
icrs-a-00201,"Global Reef, Thailand",global reef|thailand,delegate_list|geocode_csv|programme
icrs-a-00202,"Global Science and Technology, LLC","global science and technology, llc|united states",geocode_csv
icrs-a-00202,"Global Science and Technology, LLC, United States","global science and technology, llc|united states",delegate_list|geocode_csv|programme
icrs-a-00203,Goethe-Universität,goethe-universität|germany,display_alias
icrs-a-00203,"Goethe-Universität, Germany",goethe-universität|germany,delegate_list|display_alias|geocode_csv|programme
icrs-a-00204,"Great Barrier Reef Foundation, Australia",great barrier reef foundation|australia,delegate_list|geocode_csv|programme
icrs-a-00205,"Great Barrier Reef Marine Park Authority, Australia",great barrier reef marine park authority|australia,delegate_list|geocode_csv|programme
icrs-a-00206,"Great Barrier Reef Safaris, Australia",great barrier reef safaris|australia,delegate_list|geocode_csv|programme
icrs-a-00207,"Griffith University, Australia",griffith university|australia,delegate_list|geocode_csv|programme
icrs-a-00208,"Grow Reefs, United States",grow reefs|united states,delegate_list|geocode_csv
icrs-a-00209,"Guam Coral Reef Initiative, Guam",guam coral reef initiative|guam,delegate_list|geocode_csv|programme
icrs-a-00210,"Guangxi University, China",guangxi university|china,delegate_list|geocode_csv|programme
icrs-a-00211,"Gunggandji-Mandingalbay Yidinji Peoples Prescribed, Australia",gunggandji-mandingalbay yidinji peoples prescribed|australia,delegate_list
